x y z color size label
47.45 40.92 16.54 1 1 06
50.22 22.19 42.6 2 1 07
44.43 39.36 14.99 1 1 08
43.54 42.26 21.01 1 1 09
45.9 40.75 17.46 1 1 10
41.36 30.8 42.91 2 1 12
40.37 26.5 45.57 2 1 13
49.3 38.68 18.27 1 1 15
49.77 38.36 9.85 1 1 16
46.11 35.33 15.89 1 1 17
50.76 33.71 24.37 1 1 24
46.49 44.91 13.3 1 1 26
49.95 28.82 38.86 2 1 30
46.49 39.44 21.67 1 1 34
50.66 37.36 8.63 1 1 35
47.18 36.6 20.7 1 1 36
48.79 21.4 40.75 2 1 39
45.52 34.32 40.5 2 1 41
39.46 22.1 40.42 2 1 43
39.7 35.05 15.17 1 1 44
48.8 31.73 34.2 2 1 45
42.8 22.6 44.54 2 1 46
45.44 18.87 40.49 2 1 48
44.01 20.89 44.44 2 1 51
45.87 31.23 38.62 2 1 53
43.37 33.08 41.73 2 1 55
45.96 34.25 37.96 2 1 56
50.64 34.9 21.11 1 1 59
40.57 25.41 43.83 2 1 60
45.97 43.31 11.17 1 1 63
53.39 34.78 13.98 1 1 64
48.95 42.55 18.47 1 1 65
41.16 31.87 39.64 2 1 66
41.77 24.63 46.13 2 1 68
51.35 31.4 10.11 1 1 70
44.05 35.42 21.26 1 1 73
47.4 42.17 9.28 1 1 74
46.14 41.49 18.87 1 1 76
45.32 37.91 22.38 1 1 77
39.14 31.79 37.72 2 1 78
49.49 36.36 12.67 1 1 79
49.13 33.45 35.34 2 1 80
42.25 35.63 21.64 1 1 83
39.96 32.51 34.8 2 1 84
47.67 29.09 39.39 2 1 85
47.28 30.64 33.35 2 1 86
49.34 20.36 36.64 2 1 87
46.91 37.79 18.12 1 1 88
