"SubID","Sess","CuePair","w"
"NODEAP_06","1","1",0.992039387706952
"NODEAP_06","1","2",0.948552860581306
"NODEAP_06","1","3",0.992553598593157
"NODEAP_06","1","4",0.984375345886135
"NODEAP_06","1","5",0.992263851187262
"NODEAP_06","1","6",0.991371024595668
"NODEAP_06","1","7",0.981578513614495
"NODEAP_06","1","8",0.925762010818807
"NODEAP_06","1","9",0.952926934778914
"NODEAP_06","1","10",0.99328919197789
"NODEAP_06","1","11",0.991454257942889
"NODEAP_06","1","12",0.961165671498767
"NODEAP_06","2","1",0.914788007696356
"NODEAP_06","2","2",0.992325234552785
"NODEAP_06","2","3",0.993010603801496
"NODEAP_06","2","4",0.995921885804557
"NODEAP_06","2","5",0.995061705245401
"NODEAP_06","2","6",0.995730059151486
"NODEAP_06","2","7",0.992478760022204
"NODEAP_06","2","8",0.986784390960084
"NODEAP_06","2","9",0.984651082242552
"NODEAP_06","2","10",0.996411823237464
"NODEAP_06","2","11",0.996140860899343
"NODEAP_06","2","12",0.996022655453608
"NODEAP_06","3","1",0.993588403822982
"NODEAP_06","3","2",0.997502292788728
"NODEAP_06","3","3",0.997568653620496
"NODEAP_06","3","4",0.995947372745224
"NODEAP_06","3","5",0.997843326736876
"NODEAP_06","3","6",0.998160481360687
"NODEAP_06","3","7",0.997724557187734
"NODEAP_06","3","8",0.998288197160692
"NODEAP_06","3","9",0.997503122690917
"NODEAP_06","3","10",0.987516177495935
"NODEAP_06","3","11",0.998439529505485
"NODEAP_06","3","12",0.976755243098292
"NODEAP_07","1","1",0.904736200793162
"NODEAP_07","1","2",0.976351422814496
"NODEAP_07","1","3",0.96345065613588
"NODEAP_07","1","4",0.961143095598119
"NODEAP_07","1","5",0.976415970217348
"NODEAP_07","1","6",0.961580337331708
"NODEAP_07","1","7",0.784482058158367
"NODEAP_07","1","8",0.732323863562008
"NODEAP_07","1","9",0.777595478419077
"NODEAP_07","1","10",0.652443357559873
"NODEAP_07","1","11",0.9190223925621
"NODEAP_07","1","12",0.69363745655163
"NODEAP_07","2","1",0.989446028718065
"NODEAP_07","2","2",0.983861300822083
"NODEAP_07","2","3",0.992778930435063
"NODEAP_07","2","4",0.993344972884428
"NODEAP_07","2","5",0.996944527520477
"NODEAP_07","2","6",0.993515028412579
"NODEAP_07","2","7",0.996479437501851
"NODEAP_07","2","8",0.997092482371699
"NODEAP_07","2","9",0.994530768057477
"NODEAP_07","2","10",0.980534463888589
"NODEAP_07","2","11",0.997073752044097
"NODEAP_07","2","12",0.99647420185529
"NODEAP_07","3","1",0.995990212591771
"NODEAP_07","3","2",0.992318439635323
"NODEAP_07","3","3",0.996284760513289
"NODEAP_07","3","4",0.996960166629024
"NODEAP_07","3","5",0.996624777075607
"NODEAP_07","3","6",0.996779336805328
"NODEAP_07","3","7",0.863893482309735
"NODEAP_07","3","8",0.976676523886584
"NODEAP_07","3","9",0.924703450769423
"NODEAP_07","3","10",0.99735327271917
"NODEAP_07","3","11",0.996025862765621
"NODEAP_07","3","12",0.996952431630399
"NODEAP_08","1","1",0.984970190715595
"NODEAP_08","1","2",0.99372595386623
"NODEAP_08","1","3",0.994396248152244
"NODEAP_08","1","4",0.994264488398792
"NODEAP_08","1","5",0.995129844994375
"NODEAP_08","1","6",0.979544919994872
"NODEAP_08","1","7",0.995641575126898
"NODEAP_08","1","8",0.866469398059764
"NODEAP_08","1","9",0.966902880408994
"NODEAP_08","1","10",0.994189988532704
"NODEAP_08","1","11",0.994286756091164
"NODEAP_08","1","12",0.945835170497072
"NODEAP_08","2","1",0.987385511613195
"NODEAP_08","2","2",0.987875708161564
"NODEAP_08","2","3",0.89023486749931
"NODEAP_08","2","4",0.933424729399231
"NODEAP_08","2","5",0.983803153694185
"NODEAP_08","2","6",0.99429104511628
"NODEAP_08","2","7",0.994463589241817
"NODEAP_08","2","8",0.994003193041598
"NODEAP_08","2","9",0.931585102003336
"NODEAP_08","2","10",0.992474922675266
"NODEAP_08","2","11",0.994685146737911
"NODEAP_08","2","12",0.972282593269886
"NODEAP_08","3","1",0.998519220252393
"NODEAP_08","3","2",0.998918206449504
"NODEAP_08","3","3",0.998707166819865
"NODEAP_08","3","4",0.998431939969981
"NODEAP_08","3","5",0.998578740154008
"NODEAP_08","3","6",0.998977908119677
"NODEAP_08","3","7",0.986144809076132
"NODEAP_08","3","8",0.970308128428388
"NODEAP_08","3","9",0.998918474571519
"NODEAP_08","3","10",0.998752589293132
"NODEAP_08","3","11",0.998524820681692
"NODEAP_08","3","12",0.99820280281656
"NODEAP_09","1","1",0.986557609259359
"NODEAP_09","1","2",0.93780096370867
"NODEAP_09","1","3",0.962096891272363
"NODEAP_09","1","4",0.978113572136776
"NODEAP_09","1","5",0.911708600853831
"NODEAP_09","1","6",0.985431588918525
"NODEAP_09","1","7",0.981026211167533
"NODEAP_09","1","8",0.980217350274742
"NODEAP_09","1","9",0.943136399298117
"NODEAP_09","1","10",0.960167765998461
"NODEAP_09","1","11",0.986082057428922
"NODEAP_09","1","12",0.933784244582729
"NODEAP_09","2","1",0.91149378816563
"NODEAP_09","2","2",0.979868360387896
"NODEAP_09","2","3",0.978209545783643
"NODEAP_09","2","4",0.95219834045073
"NODEAP_09","2","5",0.887237924719916
"NODEAP_09","2","6",0.970032528403685
"NODEAP_09","2","7",0.986333861540597
"NODEAP_09","2","8",0.987248535999378
"NODEAP_09","2","9",0.909216260068202
"NODEAP_09","2","10",0.96880801324884
"NODEAP_09","2","11",0.986070707196582
"NODEAP_09","2","12",0.984970037096368
"NODEAP_09","3","1",0.99331519261789
"NODEAP_09","3","2",0.984005842083224
"NODEAP_09","3","3",0.972428529677181
"NODEAP_09","3","4",0.984930450467786
"NODEAP_09","3","5",0.98688847603759
"NODEAP_09","3","6",0.954114675900036
"NODEAP_09","3","7",0.992416542845821
"NODEAP_09","3","8",0.988145675628076
"NODEAP_09","3","9",0.993162421274891
"NODEAP_09","3","10",0.926132994618853
"NODEAP_09","3","11",0.992916104351763
"NODEAP_09","3","12",0.989267321083521
"NODEAP_10","1","1",0.99172171787756
"NODEAP_10","1","2",0.995371549442854
"NODEAP_10","1","3",0.98395667773786
"NODEAP_10","1","4",0.995809881552894
"NODEAP_10","1","5",0.944085874800985
"NODEAP_10","1","6",0.995974560124888
"NODEAP_10","1","7",0.996196741453426
"NODEAP_10","1","8",0.996054726541993
"NODEAP_10","1","9",0.996113552845283
"NODEAP_10","1","10",0.991878305251212
"NODEAP_10","1","11",0.987138522390728
"NODEAP_10","1","12",0.992127790508424
"NODEAP_10","2","1",0.938801395195588
"NODEAP_10","2","2",0.997675413903076
"NODEAP_10","2","3",0.99692222104656
"NODEAP_10","2","4",0.987791741472777
"NODEAP_10","2","5",0.996839736283095
"NODEAP_10","2","6",0.996855913507548
"NODEAP_10","2","7",0.993653185079181
"NODEAP_10","2","8",0.996850976270612
"NODEAP_10","2","9",0.997233580351674
"NODEAP_10","2","10",0.986212646143547
"NODEAP_10","2","11",0.996728768016828
"NODEAP_10","2","12",0.997411898635041
"NODEAP_10","3","1",0.996567846527737
"NODEAP_10","3","2",0.998647386324032
"NODEAP_10","3","3",0.998629730117597
"NODEAP_10","3","4",0.998628968809225
"NODEAP_10","3","5",0.998570928887217
"NODEAP_10","3","6",0.992736709204108
"NODEAP_10","3","7",0.998052718560737
"NODEAP_10","3","8",0.998601787624912
"NODEAP_10","3","9",0.996306499210969
"NODEAP_10","3","10",0.998751455933437
"NODEAP_10","3","11",0.997592554922364
"NODEAP_10","3","12",0.997669793441006
"NODEAP_12","1","1",0.569238453790906
"NODEAP_12","1","2",0.830814673439097
"NODEAP_12","1","3",0.650080272064169
"NODEAP_12","1","4",0.871953811669169
"NODEAP_12","1","5",0.542267786877079
"NODEAP_12","1","6",0.566679572073814
"NODEAP_12","1","7",0.560220809197305
"NODEAP_12","1","8",0.554425697419388
"NODEAP_12","1","9",0.55243004240002
"NODEAP_12","1","10",0.566856486922943
"NODEAP_12","1","11",0.545826972871209
"NODEAP_12","1","12",0.553521777268091
"NODEAP_12","2","1",0.998319475864388
"NODEAP_12","2","2",0.995135824803911
"NODEAP_12","2","3",0.995779009216832
"NODEAP_12","2","4",0.995855545131986
"NODEAP_12","2","5",0.984588325970889
"NODEAP_12","2","6",0.998399465615666
"NODEAP_12","2","7",0.997834840550536
"NODEAP_12","2","8",0.99870144244984
"NODEAP_12","2","9",0.998483440181892
"NODEAP_12","2","10",0.997787162196828
"NODEAP_12","2","11",0.992877724501132
"NODEAP_12","2","12",0.995471152711392
"NODEAP_12","3","1",0.997420093594635
"NODEAP_12","3","2",0.995329419418962
"NODEAP_12","3","3",0.995952974677497
"NODEAP_12","3","4",0.997421083040036
"NODEAP_12","3","5",0.994674210560671
"NODEAP_12","3","6",0.997034603912731
"NODEAP_12","3","7",0.952724398795565
"NODEAP_12","3","8",0.99755544662682
"NODEAP_12","3","9",0.996407660838617
"NODEAP_12","3","10",0.994318273180308
"NODEAP_12","3","11",0.997569478735883
"NODEAP_12","3","12",0.998063964067924
"NODEAP_13","1","1",0.857286290059587
"NODEAP_13","1","2",0.901957642675036
"NODEAP_13","1","3",0.985570271049312
"NODEAP_13","1","4",0.866928035725492
"NODEAP_13","1","5",0.70634265039004
"NODEAP_13","1","6",0.895564469813185
"NODEAP_13","1","7",0.985773065519177
"NODEAP_13","1","8",0.984737371635838
"NODEAP_13","1","9",0.975502305888281
"NODEAP_13","1","10",0.965449271645957
"NODEAP_13","1","11",0.983078366320313
"NODEAP_13","1","12",0.985654370672282
"NODEAP_13","2","1",0.997468541295044
"NODEAP_13","2","2",0.998765975020801
"NODEAP_13","2","3",0.984308649452435
"NODEAP_13","2","4",0.992024045040084
"NODEAP_13","2","5",0.998316336043792
"NODEAP_13","2","6",0.998598339733336
"NODEAP_13","2","7",0.998841895562712
"NODEAP_13","2","8",0.998525328597073
"NODEAP_13","2","9",0.998243850090321
"NODEAP_13","2","10",0.998565019443864
"NODEAP_13","2","11",0.993927957853955
"NODEAP_13","2","12",0.998785055646879
"NODEAP_13","3","1",0.995178132384863
"NODEAP_13","3","2",0.995293798723347
"NODEAP_13","3","3",0.992218797505977
"NODEAP_13","3","4",0.991744846220282
"NODEAP_13","3","5",0.990761489956006
"NODEAP_13","3","6",0.99539453040577
"NODEAP_13","3","7",0.990929472927919
"NODEAP_13","3","8",0.994494488060502
"NODEAP_13","3","9",0.982549326026694
"NODEAP_13","3","10",0.981717032575921
"NODEAP_13","3","11",0.995867679814661
"NODEAP_13","3","12",0.917523282559881
"NODEAP_15","1","1",0.981751875450792
"NODEAP_15","1","2",0.98186720376921
"NODEAP_15","1","3",0.753773803961119
"NODEAP_15","1","4",0.568957578011639
"NODEAP_15","1","5",0.983446602560475
"NODEAP_15","1","6",0.838085852770914
"NODEAP_15","1","7",0.585280649270115
"NODEAP_15","1","8",0.944789662647567
"NODEAP_15","1","9",0.924877565464874
"NODEAP_15","1","10",0.679608336482889
"NODEAP_15","1","11",0.964827308479472
"NODEAP_15","1","12",0.687314062323786
"NODEAP_15","2","1",0.965542613072307
"NODEAP_15","2","2",0.994681786756507
"NODEAP_15","2","3",0.902047196110851
"NODEAP_15","2","4",0.944683629074947
"NODEAP_15","2","5",0.996711036802814
"NODEAP_15","2","6",0.996042384519694
"NODEAP_15","2","7",0.995377118907579
"NODEAP_15","2","8",0.995411366653764
"NODEAP_15","2","9",0.91610804448153
"NODEAP_15","2","10",0.965943043792659
"NODEAP_15","2","11",0.996722286187231
"NODEAP_15","2","12",0.997389523263723
"NODEAP_15","3","1",0.991654272255764
"NODEAP_15","3","2",0.955326783172212
"NODEAP_15","3","3",0.99847953330794
"NODEAP_15","3","4",0.997917607282991
"NODEAP_15","3","5",0.997888334308538
"NODEAP_15","3","6",0.997870547556964
"NODEAP_15","3","7",0.99851738741809
"NODEAP_15","3","8",0.998337076477228
"NODEAP_15","3","9",0.998225599540184
"NODEAP_15","3","10",0.997539841031743
"NODEAP_15","3","11",0.917784687344382
"NODEAP_15","3","12",0.998473846201543
"NODEAP_16","1","1",0.976370361652461
"NODEAP_16","1","2",0.85098766839086
"NODEAP_16","1","3",0.991752371998584
"NODEAP_16","1","4",0.991409331225048
"NODEAP_16","1","5",0.992274849725184
"NODEAP_16","1","6",0.984004421514645
"NODEAP_16","1","7",0.915384049937813
"NODEAP_16","1","8",0.963674917027223
"NODEAP_16","1","9",0.966313460273623
"NODEAP_16","1","10",0.99302246563306
"NODEAP_16","1","11",0.970627215713055
"NODEAP_16","1","12",0.952170661144547
"NODEAP_16","2","1",0.894576644041112
"NODEAP_16","2","2",0.973383672424275
"NODEAP_16","2","3",0.877870100317026
"NODEAP_16","2","4",0.991264968909155
"NODEAP_16","2","5",0.991387298858633
"NODEAP_16","2","6",0.976750281318353
"NODEAP_16","2","7",0.776331246650754
"NODEAP_16","2","8",0.991209105295775
"NODEAP_16","2","9",0.910552764874812
"NODEAP_16","2","10",0.981663784874839
"NODEAP_16","2","11",0.975261877305332
"NODEAP_16","2","12",0.983372190620219
"NODEAP_16","3","1",0.990883264616581
"NODEAP_16","3","2",0.981297130394159
"NODEAP_16","3","3",0.990568720587985
"NODEAP_16","3","4",0.989569493418951
"NODEAP_16","3","5",0.764342322587601
"NODEAP_16","3","6",0.717944476148318
"NODEAP_16","3","7",0.982275849018176
"NODEAP_16","3","8",0.991399916390717
"NODEAP_16","3","9",0.991534500229172
"NODEAP_16","3","10",0.962531523008503
"NODEAP_16","3","11",0.991890066036008
"NODEAP_16","3","12",0.728233639121908
"NODEAP_24","1","1",0.719810430648
"NODEAP_24","1","2",0.567204409859281
"NODEAP_24","1","3",0.550351868685016
"NODEAP_24","1","4",0.590467098376413
"NODEAP_24","1","5",0.53993650663296
"NODEAP_24","1","6",0.569840094063911
"NODEAP_24","1","7",0.554168760510083
"NODEAP_24","1","8",0.562571720482403
"NODEAP_24","1","9",0.563624297771915
"NODEAP_24","1","10",0.54874653713576
"NODEAP_24","1","11",0.545668188545237
"NODEAP_24","1","12",0.538889560722028
"NODEAP_24","2","1",0.696196985467022
"NODEAP_24","2","2",0.755575843144976
"NODEAP_24","2","3",0.636643584021142
"NODEAP_24","2","4",0.583189752285081
"NODEAP_24","2","5",0.571509007003313
"NODEAP_24","2","6",0.632948443249288
"NODEAP_24","2","7",0.634674767747142
"NODEAP_24","2","8",0.752039612786511
"NODEAP_24","2","9",0.584024713912525
"NODEAP_24","2","10",0.573311957501705
"NODEAP_24","2","11",0.642346817309622
"NODEAP_24","2","12",0.607100709162296
"NODEAP_24","3","1",0.5675611108896
"NODEAP_24","3","2",0.577286321134409
"NODEAP_24","3","3",0.581749377260201
"NODEAP_24","3","4",0.544677427855836
"NODEAP_24","3","5",0.554539730839509
"NODEAP_24","3","6",0.551198442152321
"NODEAP_24","3","7",0.569845106169614
"NODEAP_24","3","8",0.702756414457808
"NODEAP_24","3","9",0.671379721265141
"NODEAP_24","3","10",0.543586937891176
"NODEAP_24","3","11",0.545896356482336
"NODEAP_24","3","12",0.631370939130693
"NODEAP_26","1","1",0.981356038940143
"NODEAP_26","1","2",0.981031326151365
"NODEAP_26","1","3",0.96624303510863
"NODEAP_26","1","4",0.985778931887511
"NODEAP_26","1","5",0.965935739644467
"NODEAP_26","1","6",0.978785769557945
"NODEAP_26","1","7",0.985807021024711
"NODEAP_26","1","8",0.956850822422816
"NODEAP_26","1","9",0.931862224270162
"NODEAP_26","1","10",0.931142613784315
"NODEAP_26","1","11",0.961936393184343
"NODEAP_26","1","12",0.985942099439238
"NODEAP_26","2","1",0.999666109528328
"NODEAP_26","2","2",0.999930883747543
"NODEAP_26","2","3",0.999866927093606
"NODEAP_26","2","4",0.999782917054034
"NODEAP_26","2","5",0.999867121295813
"NODEAP_26","2","6",0.999849136892964
"NODEAP_26","2","7",0.999899485512126
"NODEAP_26","2","8",0.999842202664103
"NODEAP_26","2","9",0.999576439807122
"NODEAP_26","2","10",0.99990302565546
"NODEAP_26","2","11",0.999863599824528
"NODEAP_26","2","12",0.999882741469393
"NODEAP_26","3","1",0.990030439005949
"NODEAP_26","3","2",0.990049122425334
"NODEAP_26","3","3",0.98929616908644
"NODEAP_26","3","4",0.986638764009158
"NODEAP_26","3","5",0.979473387973873
"NODEAP_26","3","6",0.987073724998463
"NODEAP_26","3","7",0.992391105014185
"NODEAP_26","3","8",0.993269260306064
"NODEAP_26","3","9",0.992837815288705
"NODEAP_26","3","10",0.993636621186599
"NODEAP_26","3","11",0.969833602250389
"NODEAP_26","3","12",0.916481236287306
"NODEAP_30","1","1",0.996313312008501
"NODEAP_30","1","2",0.988397664606508
"NODEAP_30","1","3",0.971841188289919
"NODEAP_30","1","4",0.995647157023217
"NODEAP_30","1","5",0.993399184217711
"NODEAP_30","1","6",0.996361680387593
"NODEAP_30","1","7",0.997227825308445
"NODEAP_30","1","8",0.995811863199132
"NODEAP_30","1","9",0.970342896373054
"NODEAP_30","1","10",0.996543925082255
"NODEAP_30","1","11",0.996921529383915
"NODEAP_30","1","12",0.996643813462149
"NODEAP_30","2","1",0.988348978753478
"NODEAP_30","2","2",0.954674034407937
"NODEAP_30","2","3",0.988532975311103
"NODEAP_30","2","4",0.980992034131638
"NODEAP_30","2","5",0.98077174690095
"NODEAP_30","2","6",0.98861277027674
"NODEAP_30","2","7",0.989497922283452
"NODEAP_30","2","8",0.985359671889854
"NODEAP_30","2","9",0.988078659318258
"NODEAP_30","2","10",0.97862925405561
"NODEAP_30","2","11",0.983366534860611
"NODEAP_30","2","12",0.982435181564206
"NODEAP_30","3","1",0.979650788807686
"NODEAP_30","3","2",0.922522871449642
"NODEAP_30","3","3",0.805953801692365
"NODEAP_30","3","4",0.897955708870195
"NODEAP_30","3","5",0.826281581067588
"NODEAP_30","3","6",0.98748009369508
"NODEAP_30","3","7",0.983388282340747
"NODEAP_30","3","8",0.986084879750925
"NODEAP_30","3","9",0.983431392410581
"NODEAP_30","3","10",0.985972737198899
"NODEAP_30","3","11",0.967180765704923
"NODEAP_30","3","12",0.983630710487703
"NODEAP_34","1","1",0.914922422518373
"NODEAP_34","1","2",0.880141617013314
"NODEAP_34","1","3",0.896908756632432
"NODEAP_34","1","4",0.80352217857407
"NODEAP_34","1","5",0.831195571045161
"NODEAP_34","1","6",0.901401636453249
"NODEAP_34","1","7",0.91268746137936
"NODEAP_34","1","8",0.874510155064444
"NODEAP_34","1","9",0.885021353856936
"NODEAP_34","1","10",0.865775659581872
"NODEAP_34","1","11",0.946534613278621
"NODEAP_34","1","12",0.754915833421826
"NODEAP_34","2","1",0.992693007482721
"NODEAP_34","2","2",0.994266209600454
"NODEAP_34","2","3",0.984324226594713
"NODEAP_34","2","4",0.986089456733026
"NODEAP_34","2","5",0.963097148503444
"NODEAP_34","2","6",0.985765464055604
"NODEAP_34","2","7",0.993450154665496
"NODEAP_34","2","8",0.994182896709027
"NODEAP_34","2","9",0.993398578420496
"NODEAP_34","2","10",0.994277310774604
"NODEAP_34","2","11",0.992976157731049
"NODEAP_34","2","12",0.975328735938616
"NODEAP_34","3","1",0.965170376727162
"NODEAP_34","3","2",0.98976076665733
"NODEAP_34","3","3",0.986325580002418
"NODEAP_34","3","4",0.989741302594826
"NODEAP_34","3","5",0.985957943140651
"NODEAP_34","3","6",0.964100309904726
"NODEAP_34","3","7",0.962252597461271
"NODEAP_34","3","8",0.989477715163078
"NODEAP_34","3","9",0.984947668231189
"NODEAP_34","3","10",0.986566863145451
"NODEAP_34","3","11",0.958495828778978
"NODEAP_34","3","12",0.974822219223836
"NODEAP_35","1","1",0.936393417574447
"NODEAP_35","1","2",0.923206464773489
"NODEAP_35","1","3",0.882487542187683
"NODEAP_35","1","4",0.935556937960993
"NODEAP_35","1","5",0.94494974724692
"NODEAP_35","1","6",0.936451848679971
"NODEAP_35","1","7",0.925860477230911
"NODEAP_35","1","8",0.943026467643053
"NODEAP_35","1","9",0.95736282762712
"NODEAP_35","1","10",0.957519167413797
"NODEAP_35","1","11",0.846128253750094
"NODEAP_35","1","12",0.95667609648978
"NODEAP_35","2","1",0.993058032674613
"NODEAP_35","2","2",0.997182662454335
"NODEAP_35","2","3",0.993756089061939
"NODEAP_35","2","4",0.997372292819154
"NODEAP_35","2","5",0.996272473108206
"NODEAP_35","2","6",0.994158638802175
"NODEAP_35","2","7",0.995746806326233
"NODEAP_35","2","8",0.996874104639946
"NODEAP_35","2","9",0.99738483913404
"NODEAP_35","2","10",0.995516801108223
"NODEAP_35","2","11",0.99758208078697
"NODEAP_35","2","12",0.996513165137843
"NODEAP_35","3","1",0.994045439147431
"NODEAP_35","3","2",0.992547736946557
"NODEAP_35","3","3",0.996245735615553
"NODEAP_35","3","4",0.992760703428255
"NODEAP_35","3","5",0.994919722999524
"NODEAP_35","3","6",0.996038732675814
"NODEAP_35","3","7",0.994698083808709
"NODEAP_35","3","8",0.994467562365402
"NODEAP_35","3","9",0.991621749863109
"NODEAP_35","3","10",0.991593913822994
"NODEAP_35","3","11",0.989284414742074
"NODEAP_35","3","12",0.995905699306226
"NODEAP_36","1","1",0.932569952270267
"NODEAP_36","1","2",0.852354418725467
"NODEAP_36","1","3",0.99474206586884
"NODEAP_36","1","4",0.995274443863587
"NODEAP_36","1","5",0.994028789593631
"NODEAP_36","1","6",0.817845439077281
"NODEAP_36","1","7",0.994769813816552
"NODEAP_36","1","8",0.587702180202592
"NODEAP_36","1","9",0.994533804860533
"NODEAP_36","1","10",0.994372596943659
"NODEAP_36","1","11",0.99421570716044
"NODEAP_36","1","12",0.574361617359158
"NODEAP_36","2","1",0.985659996432386
"NODEAP_36","2","2",0.791294837847622
"NODEAP_36","2","3",0.566837536933457
"NODEAP_36","2","4",0.984942316891806
"NODEAP_36","2","5",0.982777925973105
"NODEAP_36","2","6",0.982250283262446
"NODEAP_36","2","7",0.993975116863816
"NODEAP_36","2","8",0.995104850839055
"NODEAP_36","2","9",0.985232068078107
