subject,index,condition,session,distance_to_null
NODEAP_06,1,S,S1D1,2.9067636
NODEAP_06,2,S,S1D2,1.6357273
NODEAP_06,3,S,S2D1,4.5941467
NODEAP_06,4,C,S2D2,2.8327298
NODEAP_06,5,C,S3D1,3.4473937
NODEAP_06,6,S,S3D2,3.1142037
NODEAP_07,8,S,S1D1,2.3384283
NODEAP_07,9,S,S1D2,3.9254117
NODEAP_07,10,C,S2D1,2.5903149
NODEAP_07,11,S,S2D2,9.862286
NODEAP_07,12,S,S3D1,3.2381659
NODEAP_07,13,C,S3D2,2.2124999
NODEAP_08,15,C,S1D1,3.7436306
NODEAP_08,16,S,S1D2,4.349052
NODEAP_08,17,S,S2D1,3.6099854
NODEAP_08,18,S,S2D2,4.0745125
NODEAP_08,19,S,S3D1,3.9652133
NODEAP_08,20,C,S3D2,3.848784
NODEAP_09,22,S,S1D1,4.6124783
NODEAP_09,23,S,S1D2,4.105466
NODEAP_09,24,S,S2D1,2.949018
NODEAP_09,25,C,S2D2,1.8608413
NODEAP_09,26,C,S3D1,3.6530833
NODEAP_09,27,S,S3D2,2.837842
NODEAP_10,29,S,S1D1,2.6908147
NODEAP_10,30,S,S1D2,1.6714306
NODEAP_10,31,S,S2D1,1.992057
NODEAP_10,32,C,S2D2,2.7098985
NODEAP_10,33,C,S3D1,2.6410186
NODEAP_10,34,S,S3D2,2.2753413
NODEAP_12,36,C,S1D1,2.348239
NODEAP_12,37,S,S1D2,3.0536485
NODEAP_12,38,S,S2D1,6.115081
NODEAP_12,39,C,S2D2,2.7993085
NODEAP_12,40,S,S3D1,4.385942
NODEAP_12,41,S,S3D2,3.9750874
NODEAP_13,43,S,S1D1,4.9292917
NODEAP_13,44,C,S1D2,3.2967448
NODEAP_13,45,S,S2D1,3.7280238
NODEAP_13,46,S,S2D2,4.665642
NODEAP_13,47,C,S3D1,4.0553427
NODEAP_13,48,S,S3D2,4.844114
NODEAP_15,50,S,S1D1,2.8036695
NODEAP_15,51,C,S1D2,2.167038
NODEAP_15,52,S,S2D1,3.5115721
NODEAP_15,53,S,S2D2,2.1919422
NODEAP_15,54,C,S3D1,2.5113099
NODEAP_15,55,S,S3D2,3.9763272
NODEAP_16,57,S,S1D1,3.5205784
NODEAP_16,58,C,S1D2,2.7201104
NODEAP_16,59,S,S2D1,2.5346444
NODEAP_16,60,S,S2D2,2.5854912
NODEAP_16,61,C,S3D1,2.3085852
NODEAP_16,62,S,S3D2,3.2065618
NODEAP_17,64,S,S1D1,2.9952157
NODEAP_17,65,C,S1D2,1.6074505
NODEAP_17,66,C,S2D1,2.2360888
NODEAP_17,67,S,S2D2,2.3550882
NODEAP_17,68,S,S3D1,3.4079127
NODEAP_17,69,S,S3D2,2.4593103
NODEAP_24,71,S,S1D1,4.396146
NODEAP_24,72,S,S1D2,3.2431662
NODEAP_24,73,S,S2D1,3.08571
NODEAP_24,74,C,S2D2,2.858694
NODEAP_24,75,C,S3D1,4.6879115
NODEAP_24,76,S,S3D2,3.905427
NODEAP_26,78,S,S1D1,3.0310113
NODEAP_26,79,C,S1D2,4.037341
NODEAP_26,80,C,S2D1,3.4949522
NODEAP_26,81,S,S2D2,4.4863257
NODEAP_26,82,S,S3D1,1.7532903
NODEAP_26,83,S,S3D2,2.1155818
NODEAP_30,85,S,S1D1,2.917665
NODEAP_30,86,C,S1D2,3.0304666
NODEAP_30,87,C,S2D1,3.353715
NODEAP_30,88,S,S2D2,2.6645334
NODEAP_30,89,S,S3D1,3.4589064
NODEAP_34,91,C,S1D1,3.060952
NODEAP_34,92,S,S1D2,2.8339536
NODEAP_34,93,S,S2D1,2.4785678
NODEAP_34,94,S,S2D2,3.557173
NODEAP_34,95,S,S3D1,3.0852544
NODEAP_34,96,C,S3D2,2.3810601
NODEAP_35,98,C,S1D1,1.4983661
NODEAP_35,99,S,S1D2,1.3765453
NODEAP_35,100,S,S2D1,3.2000303
NODEAP_35,101,C,S2D2,2.3340065
NODEAP_35,102,S,S3D1,3.8043559
NODEAP_35,103,S,S3D2,3.8043559
NODEAP_36,105,C,S1D1,7.725745
NODEAP_36,106,S,S1D2,6.5599914
NODEAP_36,107,S,S2D1,5.2977247
NODEAP_36,108,C,S2D2,6.336623
NODEAP_36,109,S,S3D1,4.406758
NODEAP_36,110,S,S3D2,7.5231338
NODEAP_39,112,S,S1D1,2.7203996
NODEAP_39,113,S,S1D2,2.334444
NODEAP_39,114,S,S2D1,3.0150187
NODEAP_39,115,C,S2D2,2.2034318
NODEAP_39,116,C,S3D1,3.2855096
NODEAP_39,117,S,S3D2,1.98362
NODEAP_41,119,S,S1D1,5.0902243
NODEAP_41,120,C,S1D2,4.3466754
NODEAP_41,121,C,S2D1,4.8281646
NODEAP_41,122,S,S2D2,5.154868
NODEAP_41,123,S,S3D1,4.1248746
NODEAP_41,124,S,S3D2,5.2630353
NODEAP_43,126,C,S1D1,5.366787
NODEAP_43,127,S,S1D2,2.6736107
NODEAP_43,128,S,S2D1,3.9862478
NODEAP_43,129,C,S2D2,2.4378405
NODEAP_43,130,S,S3D1,4.5561934
NODEAP_43,131,S,S3D2,3.6295915
NODEAP_44,133,S,S1D2,1.2692606
NODEAP_44,134,S,S2D1,2.3567069
NODEAP_44,135,C,S2D2,1.9444094
NODEAP_44,136,S,S3D1,3.0318737
NODEAP_44,137,S,S3D2,2.32258
NODEAP_45,139,S,S1D1,3.024632
NODEAP_45,140,S,S1D2,3.3218122
NODEAP_45,141,C,S2D1,3.5123134
NODEAP_45,142,S,S2D2,4.46156
NODEAP_45,143,S,S3D1,2.4247584
NODEAP_45,144,C,S3D2,2.728046
NODEAP_46,146,S,S1D1,3.7069137
NODEAP_46,147,C,S1D2,5.740554
NODEAP_46,148,C,S2D1,3.9189289
NODEAP_46,149,S,S2D2,4.8375387
NODEAP_46,150,S,S3D1,4.6151505
NODEAP_46,151,S,S3D2,3.3150725
NODEAP_48,153,C,S1D1,3.106822
NODEAP_48,154,S,S1D2,2.6265342
NODEAP_48,155,S,S2D1,3.4092515
NODEAP_48,156,C,S2D2,4.0825663
NODEAP_48,157,S,S3D1,3.018436
NODEAP_48,158,S,S3D2,3.304998
NODEAP_51,160,S,S1D1,5.6451926
NODEAP_51,161,S,S1D2,3.8665233
NODEAP_51,162,S,S2D1,4.5835404
NODEAP_51,163,C,S2D2,5.7488513
NODEAP_51,164,C,S3D1,3.8025587
NODEAP_51,165,S,S3D2,5.04513
NODEAP_53,167,S,S1D1,2.1958115
NODEAP_53,168,C,S1D2,4.339957
NODEAP_53,169,S,S2D1,3.2524872
NODEAP_53,170,S,S2D2,2.9839036
NODEAP_53,171,C,S3D1,3.1436105
NODEAP_53,172,S,S3D2,1.8396055
NODEAP_55,174,S,S1D1,3.063835
NODEAP_55,175,S,S1D2,1.8491855e-07
NODEAP_55,176,C,S2D1,3.0942652
NODEAP_55,177,S,S2D2,3.136532
NODEAP_55,178,S,S3D1,3.799804
NODEAP_55,179,C,S3D2,4.0161138
NODEAP_56,181,S,S1D1,1.9221269
NODEAP_56,182,S,S1D2,2.9361606
NODEAP_56,183,S,S2D1,2.6640937
NODEAP_56,184,C,S2D2,3.9038115
NODEAP_56,185,C,S3D1,2.037315
NODEAP_56,186,S,S3D2,1.7819378
NODEAP_59,188,S,S1D1,4.4569173
NODEAP_59,189,C,S1D2,4.8147755
NODEAP_59,190,C,S2D1,4.940754
NODEAP_59,191,S,S2D2,4.918092
NODEAP_59,192,S,S3D1,3.8142095
NODEAP_59,193,S,S3D2,4.519456
NODEAP_60,195,C,S1D1,3.7297897
