x y z color size label
46.52 41.48 15.05 1 1 06
50.3 28.72 40.28 2 1 07
42.24 39.28 13.19 1 1 08
42.45 41.5 19.93 1 1 09
46.7 40.41 17.46 1 1 10
43.09 32.4 43.03 2 1 12
39.69 27.85 47.01 2 1 13
48.9 36.1 19.12 1 1 15
46.57 37.57 10.02 1 1 16
44.05 35.41 15.09 1 1 17
50.58 39.7 21.06 1 1 24
47.41 46.35 11.19 1 1 26
46.39 33.75 35.22 2 1 30
44.61 40.78 19.86 1 1 34
52.66 37.45 8.75 1 1 35
47.83 35.96 17.82 1 1 36
47.44 24.74 41.07 2 1 39
43.5 35.81 42.05 2 1 41
38.21 24.41 39.5 2 1 43
39.23 35.29 15.89 1 1 44
47.61 30.98 33.47 2 1 45
42.72 26.94 41.02 2 1 46
45.9 23.37 39.11 2 1 48
44.03 24.41 43.8 2 1 51
45.73 36.06 36.54 2 1 53
42.07 32.5 40.95 2 1 55
43.08 34.98 35.28 2 1 56
47.71 33.73 21.22 1 1 59
37.58 24.71 43.56 2 1 60
44.74 43.1 10.81 1 1 63
53.75 34.98 16.48 1 1 64
47.54 42.66 19.19 1 1 65
41.87 33.04 37.24 2 1 66
41.59 28.89 46.15 2 1 68
50.65 30.05 8.89 1 1 70
44.4 36.21 20.29 1 1 73
48.6 43.38 9.65 1 1 74
47.4 41.7 18.68 1 1 76
44.86 38.95 19.32 1 1 77
40.1 33.45 37.33 2 1 78
47.17 35.44 11.62 1 1 79
47.13 33.33 35.97 2 1 80
41.41 38.92 18.38 1 1 83
37.32 31.01 35.69 2 1 84
47.65 30.58 35.95 2 1 85
46.95 29.3 32.31 2 1 86
47.66 23.36 36.34 2 1 87
46.28 36.9 17.98 1 1 88
